state,district,mean_monthly_activity
MAHARASHTRA,RAIGAD,5981.9
MAHARASHTRA,RAIGARH,24776.0
MAHARASHTRA,RAIGARH(MH),144.1
MAHARASHTRA,RATNAGIRI,19480.1
MAHARASHTRA,SANGLI,32052.9
MAHARASHTRA,SATARA,31381.3
MAHARASHTRA,SINDHUDURG,7747.1
MAHARASHTRA,SOLAPUR,61234.5
MAHARASHTRA,THANE,106221.4
MAHARASHTRA,WARDHA,15875.4
MAHARASHTRA,WASHIM,19588.0
MAHARASHTRA,WASHIM *,186.6
MAHARASHTRA,YAVATMAL,53089.3
MANIPUR,BISHNUPUR,7348.1
MANIPUR,CHANDEL,1843.1
MANIPUR,CHURACHANDPUR,4272.3
MANIPUR,IMPHAL EAST,11642.6
MANIPUR,IMPHAL WEST,12189.7
MANIPUR,JIRIBAM,410.8
MANIPUR,KAKCHING,548.1
MANIPUR,KANGPOKPI,0.3
MANIPUR,PHERZAWL,18.9
MANIPUR,SENAPATI,4960.7
MANIPUR,TAMENGLONG,1924.5
MANIPUR,THOUBAL,11635.4
MANIPUR,UKHRUL,2964.7
MEGHALAYA,EAST GARO HILLS,1512.1
MEGHALAYA,EAST JAINTIA HILLS,1130.9
MEGHALAYA,EAST KHASI HILLS,6617.6
MEGHALAYA,EASTERN WEST KHASI HILLS,113.2
MEGHALAYA,JAINTIA HILLS,3.7
MEGHALAYA,KAMRUP,14.3
MEGHALAYA,NORTH GARO HILLS,814.4
MEGHALAYA,RI BHOI,2204.8
MEGHALAYA,SOUTH GARO HILLS,973.0
MEGHALAYA,SOUTH WEST GARO HILLS,1705.3
MEGHALAYA,SOUTH WEST KHASI HILLS,1161.8
MEGHALAYA,WEST GARO HILLS,6431.5
MEGHALAYA,WEST JAINTIA HILLS,2545.3
MEGHALAYA,WEST KHASI HILLS,3249.6
MIZORAM,AIZAWL,5162.8
MIZORAM,CHAMPHAI,2360.2
MIZORAM,HNAHTHIAL,6.6
MIZORAM,KHAWZAWL,7.9
MIZORAM,KOLASIB,1507.3
