state,district,mean_stress_index,max_stress_index,stress_volatility,active_months
CHHATTISGARH,GAURELLA PENDRA MARWAHI,0.0,0.0,0.0,10
CHHATTISGARH,JANJGIR - CHAMPA,5.387777777777778,19.666666666666668,7.933282238656917,10
CHHATTISGARH,JANJGIR CHAMPA,6.927965367965368,36.6,11.795856127151414,10
CHHATTISGARH,JANJGIR-CHAMPA,15477.648869752036,44982.0,17563.44784319601,10
CHHATTISGARH,JASHPUR,7095.815860521596,23955.0,8533.807696385516,10
CHHATTISGARH,KABEERDHAM,3136.9531288336984,9662.0,3696.666106515976,10
CHHATTISGARH,KANKER,3356.860582985092,10849.0,3952.9136202965483,10
CHHATTISGARH,KAWARDHA,6444.582166252123,22857.0,9000.569608364158,10
CHHATTISGARH,KHAIRAGARH CHHUIKHADAN GANDAI,249.19828791777863,1962.0,617.5392007510566,10
CHHATTISGARH,KONDAGAON,6620.877283175988,45556.0,13954.027181104324,10
CHHATTISGARH,KORBA,11115.517697410893,32167.0,12735.566685155498,10
CHHATTISGARH,KORIYA,4442.725074424134,14939.0,5227.869231805027,10
CHHATTISGARH,MAHASAMUND,15569.027838476788,89053.0,27270.809368557926,10
CHHATTISGARH,MANENDRAGARHCHIRMIRIBHARATPUR,31.2,133.0,53.57818793335794,10
CHHATTISGARH,MANENDRAGARH–CHIRMIRI–BHARATPUR,8.274681160003391,47.13461538461539,14.833943672809475,10
CHHATTISGARH,MOHALLA-MANPUR-AMBAGARH CHOWKI,12.908333333333335,68.0,22.248194891404694,10
CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,1057.2866562315048,3953.0,1513.249825080581,10
CHHATTISGARH,MUNGELI,7918.079797037902,26758.0,9619.64945929579,10
CHHATTISGARH,NARAYANPUR,2551.2539309613153,13170.0,4061.1664922962814,10
CHHATTISGARH,RAIGARH,8789.472604630659,31189.0,11900.779352636726,10
CHHATTISGARH,RAIPUR,12622.717032781995,51223.0,20563.938355214683,10
CHHATTISGARH,RAJNANDGAON,18237.68797230794,87828.0,27572.124144284833,10
CHHATTISGARH,SAKTI,393.3231483510391,1110.0,436.4569167233079,10
CHHATTISGARH,SARANGARH-BILAIGARH,17.783968946430246,56.88157894736842,24.04552209837442,10
CHHATTISGARH,SUKMA,719.8480175011564,3969.0,1501.6727810024374,10
CHHATTISGARH,SURAJPUR,4628.722602406514,13289.0,5177.73581463363,10
CHHATTISGARH,SURGUJA,9677.914981223135,30268.0,11186.710388690237,10
CHHATTISGARH,UTTAR BASTAR KANKER,1734.9140837169707,5510.0,1986.6548217742939,10
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,35.54611111111111,139.0,51.61015295327152,10
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,1824.621236929701,4404.0,1936.7726714398925,10
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,171.56,386.0,164.6048851711948,10
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,111.36386363636363,679.0,203.06545625244644,10
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,24.3875,191.0,59.27971740682755,10
DAMAN & DIU,DAMAN,119.03333333333333,304.0,86.66200307965295,10
DAMAN & DIU,DIU,60.9202380952381,211.0,66.5474737696117,10
DAMAN AND DIU,DAMAN,276.7870215311005,770.0,278.7998406136432,10
DAMAN AND DIU,DIU,180.8722222222222,399.0,177.43103540559886,10
DARBHANGA,NEAR UNIVERSITY THANA,0.2,2.0,0.6324555320336759,10
DELHI,CENTRAL DELHI,2042.3215965992858,20096.0,6343.633399325578,10
DELHI,EAST DELHI,3157.734901268112,31346.0,9904.367296254028,10
DELHI,NAJAFGARH,67.015,219.0,90.23951204406315,10
DELHI,NEW DELHI,374.32675624360354,2328.0,741.5413543407611,10
DELHI,NORTH DELHI,7092.810592290969,30261.0,11720.936289203382,10
DELHI,NORTH EAST,3854.3348739786334,12486.0,4521.978385981628,10
DELHI,NORTH EAST   *,0.0,0.0,0.0,10
DELHI,NORTH EAST DELHI,13221.399343323958,61181.0,22464.65291163528,10
DELHI,NORTH WEST DELHI,229.63919683333734,1870.5245901639344,578.1999563038552,10
DELHI,SHAHDARA,1053.5705226523046,5776.0,2200.3469547204204,10
DELHI,SOUTH DELHI,6806.537343029979,67605.0,21362.493234045523,10
DELHI,SOUTH EAST DELHI,53.27474637681159,119.0,43.27125598877558,10
DELHI,SOUTH WEST DELHI,5704.913189549736,56737.0,17930.86887913316,10
DELHI,WEST DELHI,39.43840820137069,238.71521035598707,71.09019768743912,10
GOA,BARDEZ,5.5,26.0,8.631338250816034,10
GOA,BICHOLIM,0.4,2.0,0.8432740427115678,10
GOA,NORTH GOA,2223.044759019471,8663.0,3094.074635463937,10
GOA,SOUTH GOA,2320.1840138221337,7891.0,2729.703599705067,10
GOA,TISWADI,0.6,3.0,1.07496769977314,10
GUJARAT,AHMADABAD,494.3801514827548,2835.0,929.8455874891123,10
GUJARAT,AHMEDABAD,18155.085999487896,112812.0,39509.6087244416,10
GUJARAT,AMRELI,3650.22419793606,15675.0,6033.792327515914,10
GUJARAT,ANAND,2679.05424367071,26488.0,8365.687759253678,10
GUJARAT,ARVALLI,1280.9181048752193,4795.0,2067.332802708328,10
GUJARAT,BANAS KANTHA,2.376864676336158,12.785714285714286,4.048999733570383,10
GUJARAT,BANASKANTHA,8977.192853189144,34342.0,14566.543590359839,10
GUJARAT,BHARUCH,5145.889209875114,26646.0,9127.68420241526,10
GUJARAT,BHAVNAGAR,5776.954810545296,34960.0,12476.65559919656,10
GUJARAT,BOTAD,700.434640478649,4830.0,1596.0434812730832,10
GUJARAT,CHHOTAUDEPUR,670.1735221107535,6583.0,2077.582429220114,10
GUJARAT,DAHOD,6332.638213547003,27918.0,10638.85947260048,10
GUJARAT,DANG,0.0,0.0,0.0,10
GUJARAT,DEVBHUMI DWARKA,820.0096218207184,4439.0,1718.14472711869,10
GUJARAT,DOHAD,435.0541311896961,2355.0,907.859006576739,10
GUJARAT,GANDHINAGAR,2455.09202066124,24331.0,7686.435419025862,10
GUJARAT,GIR SOMNATH,1219.1588113420316,7405.0,2630.3513135710086,10
GUJARAT,JAMNAGAR,3512.825498050347,23042.0,7821.810933939994,10
GUJARAT,JUNAGADH,6901.176893859342,22891.0,9232.330950691818,10
GUJARAT,KACHCHH,89.43440825455686,506.96491228070175,158.13885717930248,10
GUJARAT,KHEDA,5460.8859727225845,37223.0,12394.476287527597,10
GUJARAT,MAHESANA,4599.578859505686,27998.0,9948.029033728151,10
GUJARAT,MAHISAGAR,967.0070593296911,5755.0,2063.9836985686406,10
GUJARAT,MORBI,14.680158970988426,89.08333333333333,26.46551607775179,10
GUJARAT,NARMADA,3606.7267707192236,10645.0,4046.9511824676506,10
GUJARAT,NAVSARI,2204.8160453204428,16202.0,5229.225477366115,10
GUJARAT,PANCH MAHALS,4.2542153924506865,15.235294117647058,6.137948314320741,10
GUJARAT,PANCHMAHALS,5105.216169529975,20569.0,8442.177967200396,10
GUJARAT,PATAN,21.14842910727513,79.16230366492147,23.682035808593113,10
GUJARAT,PORBANDAR,1344.5480978585497,8162.0,2895.333692810555,10
GUJARAT,RAJKOT,4463.327285002343,44420.0,14039.378552567572,10
GUJARAT,SABAR KANTHA,3.334155844155844,13.727272727272727,4.823464276952966,10
GUJARAT,SABARKANTHA,5301.64024099416,24037.0,9032.497344755875,10
GUJARAT,SURAT,15365.504570196592,97564.0,33807.42157484744,10
GUJARAT,SURENDRA NAGAR,5635.6664678422,28426.0,9879.300283081611,10
GUJARAT,SURENDRANAGAR,4.3934443777511,19.133333333333333,6.507941287283894,10
GUJARAT,TAPI,2487.101355539576,9864.0,3502.84370219246,10
GUJARAT,THE DANGS,1349.9351880412266,5985.0,2248.0578744812037,10
GUJARAT,VADODARA,90.78953788882816,618.9555555555555,188.40739437510072,10
GUJARAT,VALSAD,3925.497693579777,27009.0,8961.02653875867,10
HARYANA,AKHERA,0.1,1.0,0.31622776601683794,10
HARYANA,AMBALA,5286.696310138499,14285.0,6849.318723371109,10
HARYANA,BHIWANI,7713.958844976873,18444.0,8332.727811305203,10
HARYANA,CHARKHI DADRI,1156.0800987405419,3521.0,1342.7307493583044,10
HARYANA,FARIDABAD,38.470883963862306,251.90728476821192,75.44808141134286,10
HARYANA,FATEHABAD,7056.027306348832,17845.0,7758.94202769521,10
HARYANA,GURGAON,7457.641170677688,30149.0,12703.548744202972,10
HARYANA,GURUGRAM,0.0,0.0,0.0,10
HARYANA,HISAR,9341.524141149019,31943.0,12527.506525575856,10
HARYANA,JHAJJAR,5271.9708775410345,14525.0,5989.984900999739,10
HARYANA,JHAJJAR *,0.0,0.0,0.0,10
HARYANA,JIND,8238.500123987205,18425.0,8786.675455623663,10
HARYANA,KAITHAL,6491.621739503829,19353.0,8875.75654964593,10
HARYANA,KARNAL,8902.839897864771,21944.0,9596.07023144093,10
HARYANA,KURUKSHETRA,5406.298904632441,15045.0,6999.032581972094,10
HARYANA,MAHENDRAGARH,4295.2621779747415,10257.0,4593.318183110577,10
HARYANA,MEWAT,5569.872117822681,23677.0,8221.027875168647,10
HARYANA,NUH,0.0,0.0,0.0,10
HARYANA,PALWAL,7464.808822417135,22428.0,8714.376465224299,10
HARYANA,PANCHKULA,4577.543068360214,11369.0,5007.00912363666,10
HARYANA,PANIPAT,5919.525863611687,25303.0,9971.118198068629,10
HARYANA,REWARI,5495.478796268197,11600.0,5791.004614979124,10
HARYANA,ROHTAK,5309.443826079647,14796.0,6884.509252584726,10
HARYANA,SIRSA,9070.548114428419,21279.0,9641.026766676194,10
HARYANA,SONIPAT,7438.13583652313,24903.0,10138.939235123358,10
HARYANA,YAMUNA NAGAR,8483.880406391954,23245.0,9448.868397261707,10
HARYANA,YAMUNANAGAR,45.49901960784314,104.0,46.361116023495335,10
HIMACHAL PRADESH,BILASPUR,1426.5901110575128,3983.0,1601.4642460336022,10
HIMACHAL PRADESH,CHAMBA,2427.861583803038,10021.0,3219.142434517249,10
HIMACHAL PRADESH,HAMIRPUR,1430.0296942894927,4192.0,1621.8498315940203,10
HIMACHAL PRADESH,KANGRA,5808.830198094149,21365.0,7180.378844778496,10
HIMACHAL PRADESH,KINNAUR,263.09813438195795,849.0,296.95346945357016,10
HIMACHAL PRADESH,KULLU,1172.010528810237,4394.0,1651.1886594775506,10
HIMACHAL PRADESH,LAHAUL AND SPITI,6.2333333333333325,22.0,8.854168300653443,10
HIMACHAL PRADESH,LAHUL & SPITI,18.475892857142856,76.0,27.9988902493324,10
HIMACHAL PRADESH,LAHUL AND SPITI,28.80887445887446,128.0,40.8823915567084,10
HIMACHAL PRADESH,MANDI,4116.3072049255,12815.0,4747.267306638276,10
HIMACHAL PRADESH,SHIMLA,2536.609042487238,8243.0,2969.312591782032,10
HIMACHAL PRADESH,SIRMAUR,3167.0108794065063,10474.0,3770.7046865383427,10
HIMACHAL PRADESH,SOLAN,2164.3577693242773,5916.0,2376.008247680109,10
HIMACHAL PRADESH,UNA,1941.729871533294,5455.0,2166.5995036712966,10
JAIPUR,NEAR MEERA HOSPITAL,0.2,2.0,0.6324555320336759,10
JAMMU & KASHMIR,ANANTNAG,1.1333333333333333,6.0,1.96387120846984,10
JAMMU & KASHMIR,BADGAM,1.1666666666666667,4.0,1.6043921197992945,10
JAMMU & KASHMIR,BANDIPUR,0.1,1.0,0.31622776601683794,10
JAMMU & KASHMIR,BARAMULA,1.424040404040404,4.818181818181818,1.983662071204013,10
JAMMU & KASHMIR,DODA,0.7666666666666666,4.0,1.4744741686696565,10
JAMMU & KASHMIR,JAMMU,3.3962698412698415,19.285714285714285,6.044233014162083,10
JAMMU & KASHMIR,KARGIL,0.7166666666666667,3.0,1.1968322386230275,10
JAMMU & KASHMIR,KATHUA,4.133333333333334,16.0,6.1947807581846925,10
JAMMU & KASHMIR,KUPWARA,0.6900000000000001,6.0,1.8752481317296534,10
JAMMU & KASHMIR,LEH (LADAKH),1.3833333333333333,6.0,2.2416511771459895,10
JAMMU & KASHMIR,PULWAMA,0.13333333333333333,0.5,0.21942686286812776,10
JAMMU & KASHMIR,PUNCH,0.85,4.0,1.3343745934165396,10
JAMMU & KASHMIR,RAJAURI,1.65,7.5,2.5391380864817537,10
JAMMU & KASHMIR,SRINAGAR,1.5,4.5,2.0,10
JAMMU & KASHMIR,UDHAMPUR,0.75,3.0,1.0865337342004415,10
JAMMU AND KASHMIR,?,0.1,1.0,0.31622776601683794,10
JAMMU AND KASHMIR,ANANTNAG,4322.507003982435,14319.0,5065.560696507358,10
JAMMU AND KASHMIR,BADGAM,1308.5308543258545,6283.0,1940.9693111348324,10
